Date,Newly Confirmed Case Number
12/1/19,1
12/2/19,0
12/3/19,0
12/4/19,0
12/5/19,0
12/6/19,0
12/7/19,0
12/8/19,0
12/9/19,0
12/10/19,3
12/11/19,0
12/12/19,0
12/13/19,0
12/14/19,0
12/15/19,2
12/16/19,0
12/17/19,1
12/18/19,1
12/19/19,1
12/20/19,5
12/21/19,4
12/22/19,3
12/23/19,8
12/24/19,1
12/25/19,3
12/26/19,2
12/27/19,2
12/28/19,0
12/29/19,0
12/30/19,0
12/31/19,3
1/1/20,3
1/2/20,1
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,4
1/17/20,17
1/18/20,59
1/19/20,77
1/20/20,77
1/21/20,149
1/22/20,131
1/23/20,259
1/24/20,444
1/25/20,688
1/26/20,769
1/27/20,1769
1/28/20,1459
1/29/20,1741
1/30/20,1985
1/31/20,2104
2/1/20,2591
2/2/20,2831
2/3/20,3235
2/4/20,3893
2/5/20,3697
2/6/20,3151
2/7/20,3401
2/8/20,2657
2/9/20,3073
2/10/20,2484
2/11/20,2022
2/12/20,15153
2/13/20,5093
2/14/20,2644
2/15/20,2009
2/16/20,2051
2/17/20,1891
2/18/20,1751
2/19/20,825
2/20/20,892
2/21/20,399
2/22/20,649
2/23/20,416
2/24/20,517
2/25/20,411
2/26/20,440
2/27/20,329
2/28/20,430
2/29/20,579
3/1/20,206
3/2/20,128
3/3/20,120
3/4/20,143
3/5/20,145
3/6/20,103
3/7/20,46
3/8/20,45
3/9/20,20
3/10/20,31
3/11/20,25
3/12/20,11
3/13/20,18
3/14/20,27
3/15/20,29
3/16/20,39
3/17/20,35
3/18/20,84
3/19/20,65
3/20/20,116
3/21/20,82
3/22/20,102
3/23/20,147
3/24/20,99
3/25/20,114
3/26/20,118
3/27/20,135
3/28/20,128
3/29/20,106
3/30/20,98
3/31/20,86
4/1/20,93
4/2/20,78
4/3/20,73
4/4/20,55
4/5/20,75
4/6/20,66
4/7/20,86
4/8/20,92
4/9/20,56
4/10/20,64
4/11/20,113
4/12/20,115
4/13/20,99
4/14/20,49
4/15/20,52
4/16/20,27
4/17/20,31
4/18/20,21
4/19/20,36
4/20/20,13
4/21/20,37
4/22/20,15
4/23/20,9
4/24/20,13
4/25/20,14
4/26/20,3
4/27/20,6
4/28/20,22
4/29/20,4
4/30/20,12